      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
   2.94  719.40 282.25   1.31   0.00  14.80   0.21 364.97   0.00
   2.83  728.30 283.05   1.33   0.00  14.20   0.21 366.83 120.07
   2.73  737.40 283.85   1.34   0.00  13.63   0.21 368.64 144.08
   2.62  746.50 284.55   1.34   0.00  13.09   0.21 370.36 159.16
   2.52  755.80 285.35   1.36   0.00  12.59   0.21 372.14 170.61
   2.42  765.20 286.15   1.37   0.00  12.11   0.21 373.85 180.09
   2.31  774.70 286.85   1.38   0.00  11.66   0.21 375.45 188.20
   2.21  784.40 287.65   1.40   0.00  11.24   0.21 377.07 195.50
   2.10  794.10 288.35   1.41   0.00  10.84   0.22 378.53 202.09
   2.00  804.00 289.05   1.42   0.00  10.47   0.38 379.93 208.16
   1.89  814.00 289.75   1.43   0.00  10.13   0.38 381.31 214.05
   1.78  824.10 290.45   1.44   0.00   9.81   0.38 382.60 219.62
   1.68  834.40 291.15   1.46   0.00   9.53   0.38 383.73 224.95
   1.57  844.70 291.75   1.47   0.00   9.26   0.38 384.61 229.95
   1.47  855.30 292.35   1.49   0.00   9.03   0.38 385.30 234.72
   1.36  865.90 292.85   1.50   0.00   8.84   0.38 385.65 239.18
   1.26  876.70 293.35   1.52   0.00   8.69   0.38 385.68 243.44
   1.16  887.60 293.75   1.54   0.00   8.60   0.38 385.11 247.44
   1.05  898.60 293.95   1.56   0.00   8.60   0.50 383.52 250.99
   0.94  909.80 293.75   1.57   0.00   8.80   0.61 379.51 253.90
   0.84  921.10 283.45   9.57   0.00  99.99   0.61 363.24 245.01
   0.73  932.50 283.95   9.88   0.00  99.99   0.61 369.66 356.23
   0.63  944.10 284.45  10.19   0.00  99.99   0.61 385.04 361.29
   0.53  955.90 285.35  10.36   0.00  96.04   0.61 387.70 363.50
   0.42  967.80 286.35  10.44   0.00  90.98   0.61 391.14 366.72
   0.32  979.80 287.35  10.52   0.00  86.22   0.61 394.42 370.22
   0.21  992.00 288.35  10.60   0.00  81.72   0.61 397.52 373.89
   0.10 1004.30 289.35  10.68   0.00  77.47   0.61 400.35 377.70
   0.00 1016.80 290.35  10.75   0.00  73.47   0.00 402.57 381.59
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
