      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 278.52   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 278.53   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 278.64   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 278.48   1.04
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 278.15   1.95
  35.00    6.52 245.30   0.00   0.00   0.00   0.00 277.62   3.26
  30.00   13.20 234.20   0.00   0.00   0.02   0.00 276.84   5.22
  25.00   27.70 224.20   0.00   0.00   0.13   0.00 275.88   7.97
  20.00   59.50 218.20   0.00   0.00   0.56   0.01 275.23  11.74
  15.00  130.00 215.80   0.00   0.00   1.63   0.00 276.12  17.54
  14.00  153.00 215.80   0.00   0.00   1.93   0.00 276.81  18.96
  13.00  179.00 216.90   0.00   0.00   2.83   0.00 278.15  20.91
  12.00  209.00 222.30   0.00   0.00   5.94   0.01 280.74  25.24
  11.00  243.00 228.80   0.01   0.00  10.00   0.01 284.33  34.04
  10.00  281.00 235.20   0.03   0.00  15.39   0.01 289.06  47.62
   9.00  324.00 241.70   0.06   0.00  15.27   0.02 295.10  63.64
   8.00  372.00 248.20   0.11   0.00  15.24   0.03 302.33  80.86
   7.00  426.00 254.70   0.19   0.00  15.63   0.06 310.93 100.20
   6.00  487.00 261.00   0.31   0.00  15.61   0.07 320.90 121.84
   5.00  554.00 267.10   0.51   0.00  16.25   0.09 332.10 145.61
   4.00  628.00 273.00   0.97   0.00  20.22   0.10 345.68 172.79
   2.94  719.40 282.25   1.31   0.00  14.80   0.14 366.13 208.84
   2.83  728.30 283.05   1.33   0.00  14.20   0.14 367.94 212.56
   2.73  737.40 283.85   1.34   0.00  13.63   0.14 369.70 216.16
   2.62  746.50 284.55   1.34   0.00  13.09   0.14 371.38 219.60
   2.52  755.80 285.35   1.36   0.00  12.59   0.14 373.13 223.06
   2.42  765.20 286.15   1.37   0.00  12.11   0.14 374.81 226.54
   2.31  774.70 286.85   1.38   0.00  11.66   0.14 376.38 229.90
   2.21  784.40 287.65   1.40   0.00  11.24   0.14 377.97 233.31
   2.10  794.10 288.35   1.41   0.00  10.84   0.14 379.40 236.64
   2.00  804.00 289.05   1.42   0.00  10.47   0.24 380.78 239.92
   1.89  814.00 289.75   1.43   0.00  10.13   0.24 382.11 243.28
   1.78  824.10 290.45   1.44   0.00   9.81   0.24 383.35 246.63
   1.68  834.40 291.15   1.46   0.00   9.53   0.24 384.44 249.97
   1.57  844.70 291.75   1.47   0.00   9.26   0.24 385.28 253.19
   1.47  855.30 292.35   1.49   0.00   9.03   0.24 385.92 256.35
   1.36  865.90 292.85   1.50   0.00   8.84   0.24 386.24 259.36
   1.26  876.70 293.35   1.52   0.00   8.69   0.24 386.24 262.29
   1.16  887.60 293.75   1.54   0.00   8.60   0.24 385.64 265.06
   1.05  898.60 293.95   1.56   0.00   8.60   0.32 384.02 267.49
   0.94  909.80 293.75   1.57   0.00   8.80   0.39 379.98 269.30
   0.84  921.10 283.45   9.57   0.00  99.99   0.39 363.70 258.01
   0.73  932.50 283.95   9.88   0.00  99.99   0.39 369.73 357.06
   0.63  944.10 284.45  10.19   0.00  99.99   0.39 385.33 361.81
   0.53  955.90 285.35  10.36   0.00  96.04   0.39 387.91 363.79
   0.42  967.80 286.35  10.44   0.00  90.98   0.39 391.28 366.84
   0.32  979.80 287.35  10.52   0.00  86.22   0.39 394.51 370.22
   0.21  992.00 288.35  10.60   0.00  81.72   0.39 397.57 373.78
   0.10 1004.30 289.35  10.68   0.00  77.47   0.39 400.37 377.50
   0.00 1016.80 290.35  10.75   0.00  73.47   0.00 402.57 381.32
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
