      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 278.67   0.01
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 278.67   0.02
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 278.79   0.44
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 278.63   1.08
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 278.29   2.01
  35.00    6.52 245.30   0.00   0.00   0.00   0.00 277.74   3.34
  30.00   13.20 234.20   0.00   0.00   0.02   0.00 276.96   5.32
  25.00   27.70 224.20   0.00   0.00   0.12   0.00 275.99   8.07
  20.00   59.50 218.20   0.00   0.00   0.53   0.01 275.34  11.84
  15.00  130.00 215.80   0.00   0.00   1.56   0.00 276.28  17.67
  14.00  153.00 215.80   0.00   0.00   1.85   0.00 276.97  19.10
  13.00  179.00 216.90   0.00   0.00   2.71   0.00 278.31  21.04
  12.00  209.00 222.30   0.00   0.00   5.69   0.01 280.92  25.37
  11.00  243.00 228.80   0.01   0.00   9.58   0.01 284.52  34.15
  10.00  281.00 235.20   0.03   0.00  14.75   0.01 289.26  47.67
   9.00  324.00 241.70   0.06   0.00  14.63   0.02 295.30  63.62
   8.00  372.00 248.20   0.10   0.00  14.61   0.03 302.54  80.82
   7.00  426.00 254.70   0.18   0.00  14.98   0.06 311.16 100.14
   6.00  487.00 261.00   0.30   0.00  14.96   0.07 321.16 121.78
   5.00  554.00 267.10   0.49   0.00  15.58   0.09 332.39 145.55
   4.00  628.00 273.00   0.93   0.00  19.38   0.09 345.95 172.69
   3.00  714.30 281.75   1.30   0.00  15.16   0.14 365.23 206.97
   2.62  747.40 284.65   1.35   0.00  13.04   0.14 371.82 220.33
   2.23  782.10 287.45   1.39   0.00  11.34   0.18 377.84 233.03
   1.85  818.20 290.05   1.44   0.00  10.00   0.24 382.86 245.37
   1.46  856.20 292.35   1.49   0.00   9.02   0.24 386.06 257.31
   1.06  897.50 293.95   1.56   0.00   8.59   0.24 384.42 268.05
   1.04  900.10 293.95   1.56   0.00   8.61   0.24 383.85 268.60
   1.01  902.60 293.95   1.56   0.00   8.64   0.31 383.18 269.10
   0.99  905.20 293.85   1.56   0.00   8.68   0.39 382.36 269.51
   0.96  907.70 293.85   1.57   0.00   8.74   0.39 381.46 269.96
   0.94  910.30 293.75   1.58   0.00   8.82   0.39 380.26 270.34
   0.92  912.90 293.55   1.58   0.00   8.94   0.39 378.72 270.59
   0.89  915.50 293.35   1.59   0.00   9.11   0.39 376.64 270.76
   0.87  918.10 292.85   1.60   0.00   9.40   0.39 372.94 270.66
   0.84  920.70 291.65   1.61   0.00  10.16   0.39 365.35 263.41
   0.82  923.30 283.55   9.63   0.00  99.99   0.39 366.84 321.79
   0.80  925.90 283.65   9.69   0.00  99.99   0.39 367.88 344.48
   0.77  928.50 283.75   9.75   0.00  99.99   0.39 368.60 352.30
   0.75  931.10 283.85   9.82   0.00  99.99   0.39 369.33 355.32
   0.72  933.70 284.05   9.94   0.00  99.99   0.39 370.19 357.06
   0.70  936.40 284.15  10.00   0.00  99.99   0.39 370.81 358.13
   0.68  939.00 284.25  10.07   0.00  99.99   0.39 371.58 358.91
   0.65  941.70 284.35  10.13   0.00  99.99   0.39 372.84 359.63
   0.63  944.40 284.45  10.19   0.00  99.99   0.39 375.66 360.36
   0.60  947.00 284.55  10.26   0.00  99.99   0.39 385.09 361.33
   0.60  947.60 284.65  10.30   0.00  99.78   0.39 385.30 361.44
   0.40  969.80 286.55  10.47   0.00  90.15   0.39 391.84 367.22
   0.20  993.00 288.45  10.62   0.00  81.35   0.39 397.82 374.00
   0.00 1016.80 290.35  10.75   0.00  73.47   0.00 402.57 381.27
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
