 Sounding NKX 20150703-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 288.27   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 288.27   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 288.38   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 288.22   1.05
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 287.89   1.97
  35.00000    6.52 245.30   0.00   0.00   0.01   0.00 287.35   3.30
  30.00000   13.20 234.20   0.00   0.00   0.03   0.00 286.57   5.33
  21.64100   44.50 214.30   0.00   0.00   1.00   0.00 283.91  10.42
  20.91000   50.00 212.80   0.00   0.00   1.00   0.00 283.76  10.71
  20.70200   51.70 211.80   0.00   0.00   1.00   0.00 283.72  10.78
  19.74600   60.30 211.60   0.00   0.00   1.00   0.01 283.60  11.33
  19.54500   62.30 209.40   0.00   0.00   1.00   0.01 283.54  11.40
  18.93600   68.80 208.80   0.00   0.00   2.00   0.01 283.53  11.73
  18.59300   72.80 206.60   0.00   0.00   2.00   0.01 283.48  11.87
  18.23800   77.20 204.80   0.00   0.00   2.00   0.01 283.55  11.94
  17.37400   89.10 205.50   0.00   0.00   3.00   0.01 284.05  12.50
  16.68000  100.00 206.00   0.00   0.00   3.00   0.01 284.52  13.18
  16.45900  103.70 205.10   0.00   0.00   3.00   0.01 284.69  13.34
  15.94200  113.00 208.00   0.00   0.00   3.00   0.01 285.34  14.08
  15.37500  124.00 208.60   0.00   0.00   5.00   0.01 285.93  15.04
  14.93500  133.20 210.50   0.00   0.00   6.00   0.01 286.54  16.07
  14.45300  144.00 212.00   0.00   0.00   9.00   0.01 287.11  17.50
  14.32600  147.00 211.30   0.00   0.00   7.00   0.01 287.21  17.83
  14.02100  154.40 212.10   0.00   0.00   9.00   0.01 287.60  18.67
  13.83900  159.00 211.00   0.00   0.00  10.00   0.01 287.80  19.10
  13.27900  174.00 213.00   0.00   0.00  26.00   0.01 289.17  21.46
  12.99800  182.00 213.80   0.01   0.00  30.00   0.01 290.13  23.24
  12.82700  187.00 215.20   0.01   0.00  31.00   0.01 290.91  24.52
  12.72700  190.00 216.20   0.01   0.00  40.00   0.01 291.44  25.45
  12.56200  195.00 217.80   0.01   0.00  24.00   0.01 292.30  26.99
  12.08500  210.00 221.80   0.01   0.00  13.00   0.01 294.52  30.66
  10.97300  248.40 230.50   0.01   0.00   7.00   0.02 299.86  39.52
   9.67000  300.00 240.20   0.01   0.00   3.00   0.02 306.48  51.23
   9.30400  316.00 243.20   0.01   0.00   3.00   0.03 308.27  55.06
   8.88800  335.00 245.00   0.02   0.00   3.00   0.04 309.98  59.44
   8.23000  367.00 249.00   0.05   0.00   7.00   0.04 313.54  69.43
   8.03400  377.00 249.80   0.11   0.00  13.00   0.06 314.73  74.17
   7.62000  398.90 253.00   0.30   0.00  28.00   0.07 318.96  89.03
   7.48900  406.00 254.20   0.33   0.00  28.00   0.07 320.68  94.44
   7.27000  418.00 256.40   0.22   0.00  16.00   0.07 323.22 101.56
   6.95200  436.00 258.00   0.10   0.00   6.00   0.12 325.17 107.35
   6.79700  445.00 257.80   0.66   0.00  42.00   0.12 326.10 111.03
   6.40100  468.60 261.10   0.83   0.00  41.00   0.12 332.58 128.06
   6.09600  487.60 263.90   0.92   0.00  37.00   0.14 337.85 139.97
   5.85300  503.00 265.60   1.16   0.00  41.00   0.16 341.91 148.98
   4.89400  568.00 273.50   1.14   0.00  23.00   0.18 359.24 181.27
   4.57200  591.20 274.80   1.74   0.00  32.00   0.18 363.96 190.74
   4.26700  613.80 277.30   1.67   0.00  26.00   0.19 370.57 201.22
   3.65800  661.20 282.60   1.63   0.00  18.00   0.20 383.32 221.87
   3.25600  694.00 284.90   1.99   0.00  19.00   0.21 390.02 234.13
   2.97100  718.00 287.10   2.76   0.00  23.00   0.29 396.25 244.60
   2.74300  737.60 289.10   1.90   0.00  14.00   0.29 401.54 253.23
   2.24400  782.00 293.30   1.92   0.00  11.00   0.30 410.62 270.37
   1.98400  806.00 294.30   2.77   0.00  15.00   0.51 412.18 278.42
   1.82900  820.60 293.80   4.85   0.00  27.00   0.51 411.28 282.87
   1.66800  836.00 293.10   8.44   0.00  49.00   0.51 410.53 288.99
   1.21900  880.50 295.40   9.45   0.00  48.00   0.51 416.06 316.07
   1.05700  897.00 296.80   4.69   0.00  22.00   0.64 417.80 323.85
   0.96100  907.00 296.50   8.60   0.00  41.00   0.82 417.02 326.39
   0.89400  914.00 297.50   4.66   0.00  21.00   0.82 417.57 329.80
   0.69600  935.00 296.80   3.84   0.00  18.00   0.82 413.06 332.51
   0.61500  943.80 294.50   9.16   0.00  49.00   0.82 407.47 330.21
   0.60400  944.90 294.20   9.74   0.00  53.00   0.82 406.60 329.75
   0.59400  946.10 293.80  10.23   0.00  57.00   0.82 405.74 329.25
   0.58300  947.20 293.50  10.76   0.00  61.00   0.82 404.92 328.79
   0.57200  948.40 293.20  11.26   0.00  65.00   0.82 404.08 328.39
   0.56200  949.60 292.90  11.58   0.00  68.00   0.82 403.27 328.02
   0.55100  950.80 292.50  11.97   0.00  72.00   0.82 402.35 327.53
   0.54000  952.00 292.20  12.25   0.00  75.00   0.82 401.51 327.13
   0.52900  953.20 291.80  12.45   0.00  78.00   0.82 400.61 326.66
   0.51900  954.40 291.50  12.85   0.00  82.00   0.82 399.87 326.28
   0.50800  955.60 291.10  13.01   0.00  85.00   0.82 399.03 325.83
