      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 277.58   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 277.58   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 277.70   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 277.54   1.04
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 277.20   1.96
  35.00    6.52 245.30   0.00   0.00   0.00   0.00 276.66   3.27
  30.00   13.20 234.20   0.00   0.00   0.03   0.00 275.84   5.26
  25.00   27.70 224.20   0.00   0.00   0.16   0.00 274.69   8.08
  17.99   79.10 201.40   0.00   0.00   4.00   0.01 272.24  11.53
  16.86   95.50 202.80   0.00   0.00   4.00   0.01 273.09  12.09
  16.59  100.00 204.00   0.00   0.00   3.00   0.01 273.37  12.37
  16.24  106.00 204.60   0.00   0.00   3.00   0.01 273.73  12.75
  15.00  130.00 211.00   0.00   0.00   4.00   0.01 275.22  15.15
  14.63  138.10 210.30   0.00   0.00   7.00   0.01 275.43  15.98
  14.41  143.00 211.00   0.00   0.00   7.00   0.01 275.64  16.54
  14.20  148.00 210.60   0.00   0.00  10.00   0.01 275.81  17.09
  14.12  150.00 210.80   0.00   0.00  10.00   0.01 275.91  17.33
  14.00  153.00 211.60   0.00   0.00  14.00   0.01 276.05  17.79
  13.72  160.10 210.40   0.00   0.00  25.00   0.01 276.31  18.91
  12.89  183.00 213.20   0.01   0.00  34.00   0.01 278.14  23.45
  12.55  193.00 214.00   0.01   0.00  46.00   0.01 279.12  25.72
  12.50  194.80 214.50   0.01   0.00  44.00   0.01 279.35  26.18
  12.33  200.00 215.80   0.01   0.00  41.00   0.01 280.01  27.55
  12.19  204.30 216.70   0.01   0.00  37.00   0.01 280.53  28.68
  11.35  233.00 222.40   0.01   0.00  23.00   0.01 283.87  35.58
  11.21  238.00 223.20   0.02   0.00  26.00   0.01 284.40  36.81
  10.89  250.00 224.80   0.05   0.00  62.00   0.01 285.90  40.86
  10.63  260.00 226.80   0.07   0.00  80.00   0.01 287.71  45.72
  10.43  268.00 228.80   0.09   0.00  82.00   0.01 289.43  50.02
  10.11  281.00 231.60   0.11   0.00  73.00   0.02 292.23  56.60
   9.66  300.00 235.60   0.16   0.00  73.00   0.02 296.57  65.76
   9.41  311.00 237.80   0.20   0.00  71.00   0.02 299.23  71.11
   9.14  323.10 240.00   0.21   0.00  63.00   0.02 302.21  76.69
   9.12  324.00 240.20   0.22   0.00  63.00   0.02 302.43  77.09
   9.00  330.00 241.20   0.19   0.00  50.00   0.03 303.85  79.56
   8.89  335.00 242.20   0.25   0.00  61.00   0.03 305.10  81.70
   8.66  346.00 243.80   0.16   0.00  34.00   0.03 307.62  85.82
   8.50  354.00 245.20   0.21   0.00  38.00   0.03 309.42  88.54
   8.30  364.00 246.80   0.16   0.00  26.00   0.03 311.51  91.86
   7.91  384.00 249.80   0.32   0.00  39.00   0.05 316.00  99.06
   7.82  389.00 250.60   0.29   0.00  33.00   0.05 317.27 101.12
   7.62  399.50 252.30   0.36   0.00  36.00   0.05 320.02 105.49
   7.61  400.00 252.40   0.37   0.00  37.00   0.05 320.17 105.74
   7.41  411.00 254.20   0.40   0.00  34.00   0.05 323.33 110.66
   7.32  416.00 255.00   0.29   0.00  23.00   0.05 324.67 112.65
   7.21  422.00 256.00   0.39   0.00  29.00   0.06 326.26 115.00
   6.91  439.00 258.60   0.28   0.00  17.00   0.09 330.53 121.49
   6.23  480.00 264.60   0.58   0.00  22.00   0.09 341.34 138.16
   5.94  498.00 267.40   0.52   0.00  16.00   0.11 346.33 146.47
   5.91  500.00 267.60   0.46   0.00  14.00   0.11 346.76 147.26
   5.26  543.00 272.20   0.73   0.00  16.00   0.12 357.08 164.20
   4.88  568.70 275.30   0.73   0.00  13.00   0.14 364.23 175.26
   3.66  659.60 285.10   0.64   0.00   6.00   0.15 386.44 209.25
   3.17  700.00 288.80   0.67   0.00   5.00   0.17 393.98 222.77
   2.89  723.00 289.90   1.00   0.00   7.00   0.21 397.29 230.11
   2.44  762.10 293.20   1.04   0.00   6.00   0.26 404.86 244.79
   1.83  817.90 297.60   1.34   0.00   6.00   0.37 413.35 266.00
   1.49  850.00 298.50   1.88   0.00   8.00   0.37 414.23 276.88
   1.40  859.00 298.80   2.63   0.00  11.00   0.37 413.90 280.28
   1.22  877.00 297.80   4.51   0.00  20.00   0.37 410.18 286.10
   1.12  887.00 297.10   5.86   0.00  27.00   0.37 406.95 289.48
   1.08  890.80 296.40   6.88   0.00  33.00   0.37 404.93 290.34
   1.06  893.60 295.90   7.70   0.00  38.00   0.37 403.40 290.94
   1.03  896.40 295.40   8.27   0.00  42.00   0.37 401.81 291.58
   1.00  899.10 294.90   8.99   0.00  47.00   0.57 400.20 292.20
   0.98  901.90 294.40   9.48   0.00  51.00   0.60 398.44 292.94
   0.95  904.70 293.70  10.17   0.00  57.00   0.60 396.44 293.43
   0.92  907.50 293.10  10.85   0.00  63.00   0.60 394.51 293.98
   0.90  910.30 292.40  11.74   0.00  71.00   0.60 392.40 294.45
   0.87  913.20 291.70  12.37   0.00  78.00   0.60 390.25 294.93
   0.84  916.00 291.00  12.48   0.00  82.00   0.60 388.18 295.37
   0.81  918.90 290.40  12.48   0.00  85.00   0.60 386.17 295.90
   0.79  921.80 289.70  12.53   0.00  89.00   0.60 384.01 296.23
   0.76  924.70 289.00  12.55   0.00  93.00   0.60 381.72 296.42
   0.73  927.60 287.80  12.04   0.00  96.00   0.60 378.94 295.78
   0.71  930.50 286.40  11.40   0.00  99.00   0.60 376.55 294.43
   0.68  933.50 285.80  11.09   0.00  99.99   0.60 375.93 293.73
   0.65  936.50 285.90  11.16   0.00  99.99   0.60 379.29 364.86
   0.63  939.50 286.10  11.30   0.00  99.99   0.60 380.27 369.94
   0.60  942.50 286.20  11.37   0.00  99.99   0.60 380.84 371.31
   0.57  945.50 286.30  11.44   0.00  99.99   0.60 381.52 372.04
   0.55  948.50 286.50  11.58   0.00  99.99   0.60 382.38 373.00
   0.52  951.50 286.60  11.54   0.00  99.00   0.60 382.93 373.76
   0.49  954.50 286.70  11.61   0.00  99.00   0.60 383.60 374.42
   0.47  957.50 286.90  11.75   0.00  99.00   0.60 384.46 375.39
   0.44  960.50 287.00  11.82   0.00  99.00   0.60 385.02 376.17
   0.41  963.50 287.10  11.90   0.00  99.00   0.60 385.73 376.82
   0.39  966.50 287.30  12.04   0.00  99.00   0.60 386.79 377.80
   0.36  969.50 287.50  12.07   0.00  98.00   0.60 387.91 378.91
   0.33  972.60 287.70  12.09   0.00  97.00   0.60 389.69 380.08
   0.30  975.70 288.00  12.19   0.00  96.00   0.60 395.23 381.72
   0.27  980.00 288.30  12.16   0.00  94.00   0.60 396.28 382.48
   0.14  995.00 289.90  14.25   0.00  99.99   0.00 400.09 387.16
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00*******   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
