      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00    0.00 210.70   0.00   0.00   0.00   0.00 263.20   0.00
  70.00    0.07 219.10   0.00   0.00   0.00   0.00 263.20   0.01
  50.00    0.95 276.20   0.00   0.00   0.00   0.00 263.31   0.41
  45.00    1.76 269.70   0.00   0.00   0.00   0.00 263.15   1.05
  40.00    3.33 257.50   0.00   0.00   0.00   0.00 262.82   1.99
  35.00    6.52 245.30   0.00   0.00   0.01   0.00 262.28   3.34
  30.00   13.20 234.20   0.00   0.00   0.05   0.00 261.50   5.46
  25.00   27.70 224.20   0.00   0.00   0.33   0.01 260.58   8.63
  15.37  124.00 208.60   0.00   0.00   8.00   0.02 259.18  18.94
  15.13  129.00 206.80   0.00   0.00   9.00   0.02 259.28  19.01
  14.94  133.20 207.30   0.00   0.00  11.00   0.01 259.52  19.17
  14.67  139.00 208.00   0.00   0.00  15.00   0.01 259.82  19.57
  14.46  144.00 208.00   0.00   0.00  24.00   0.01 260.03  20.03
  14.33  147.00 206.80   0.00   0.00  27.00   0.01 260.17  20.25
  14.21  150.00 207.40   0.00   0.00  32.00   0.01 260.43  20.54
  14.17  151.00 207.80   0.00   0.00  32.00   0.01 260.52  20.67
  13.72  162.70 208.80   0.00   0.00  45.00   0.01 261.56  22.37
  13.45  170.00 210.40   0.01   0.00  53.00   0.01 262.44  23.80
  12.79  189.00 216.00   0.01   0.00  46.00   0.02 265.03  28.84
  12.59  195.00 217.20   0.02   0.00  53.00   0.02 265.76  30.68
  12.43  200.00 217.80   0.02   0.00  69.00   0.02 266.41  32.36
  12.21  207.00 219.20   0.02   0.00  60.00   0.02 267.50  34.79
  11.88  218.00 222.20   0.04   0.00  75.00   0.02 269.44  39.11
  11.61  227.00 224.40   0.05   0.00  75.00   0.02 271.18  43.17
  10.97  250.00 230.00   0.07   0.00  58.00   0.02 275.93  53.21
  10.65  262.00 233.00   0.08   0.00  47.00   0.02 278.36  58.27
  10.57  265.00 233.60   0.10   0.00  53.00   0.02 278.91  59.54
  10.50  268.00 234.00   0.13   0.00  69.00   0.02 279.53  60.95
  10.47  269.00 234.40   0.14   0.00  72.00   0.02 279.79  61.50
  10.36  273.20 235.30   0.14   0.00  63.00   0.03 280.79  63.72
   9.90  292.00 239.00   0.11   0.00  36.00   0.03 284.85  71.56
   9.83  295.00 239.60   0.08   0.00  26.00   0.03 285.43  72.56
   9.71  300.00 240.60   0.09   0.00  26.00   0.03 286.34  74.13
   9.32  317.00 244.00   0.11   0.00  22.00   0.03 289.18  79.83
   9.10  327.00 244.60   0.18   0.00  34.00   0.04 290.57  83.21
   8.97  333.00 245.60   0.19   0.00  34.00   0.06 291.80  85.58
   8.65  348.00 248.60   0.18   0.00  24.00   0.06 294.74  91.64
   8.53  353.50 249.30   0.24   0.00  31.00   0.06 295.59  93.87
   8.38  361.00 250.20   0.37   0.00  44.00   0.07 296.94  97.41
   7.79  391.00 255.40   0.53   0.00  41.00   0.10 303.25 113.65
   7.66  398.00 256.20   0.89   0.00  65.00   0.10 304.23 117.96
   7.58  402.00 256.00   1.16   0.00  86.00   0.10 304.64 120.67
   7.47  408.00 256.40   1.31   0.00  94.00   0.11 305.94 125.25
   6.95  437.00 260.00   1.59   0.00  86.00   0.19 313.42 145.89
   6.86  442.00 260.00   1.83   0.00  99.00   0.19 314.39 148.97
   6.78  447.00 260.40   1.91   0.00  99.99   0.19 315.98 152.50
   6.31  475.00 264.20   2.22   0.00  87.00   0.20 325.69 172.44
   5.91  500.00 266.20   2.48   0.00  84.00   0.24 331.95 185.62
   5.77  509.00 266.80   2.66   0.00  86.00   0.24 334.32 189.97
   5.63  518.00 267.60   2.45   0.00  75.00   0.24 336.98 194.18
   5.32  539.00 270.00   2.45   0.00  63.00   0.24 343.24 203.45
   5.25  544.00 270.80   1.60   0.00  39.00   0.24 344.61 205.46
