 Sounding NKX 20170525-12UTC                                                     
      z       p      T     wv     O3     RH   Aer.  LW_up  LW_dn
 100.00000    0.00 210.70   0.00   0.00   0.00   0.00 270.59   0.00
  70.00000    0.07 219.10   0.00   0.00   0.00   0.00 270.60   0.01
  50.00000    0.95 276.20   0.00   0.00   0.00   0.00 270.71   0.41
  45.00000    1.76 269.70   0.00   0.00   0.00   0.00 270.55   1.04
  40.00000    3.33 257.50   0.00   0.00   0.00   0.00 270.22   1.95
  35.00000    6.52 245.30   0.00   0.00   0.00   0.00 269.70   3.25
  27.43200   17.60 229.80   0.00   0.00   1.00   0.00 268.04   7.53
  26.58000   20.00 228.00   0.00   0.00   1.00   0.00 267.80   8.36
  26.13000   21.40 227.00   0.00   0.00   1.00   0.00 267.68   8.77
  25.56200   23.30 229.60   0.00   0.00   1.00   0.00 267.48   9.42
  25.04200   25.20 223.80   0.00   0.00   1.00   0.00 267.16   9.84
  24.73700   26.40 224.00   0.00   0.00   1.00   0.00 267.04  10.04
  24.54200   27.20 221.40   0.00   0.00   1.00   0.00 266.95  10.14
  23.91000   30.00 219.80   0.00   0.00   1.00   0.00 266.80  10.45
  22.90200   35.10 219.00   0.00   0.00   1.00   0.00 266.56  11.08
  21.33600   45.00 213.00   0.00   0.00   1.00   0.00 266.01  11.81
  20.78000   49.20 210.80   0.00   0.00   1.00   0.00 265.94  11.95
  20.68000   50.00 211.40   0.00   0.00   1.00   0.00 265.96  11.99
  19.86000   57.10 211.20   0.00   0.00   1.00   0.01 265.92  12.45
  19.52500   60.30 209.40   0.00   0.00   1.00   0.01 265.91  12.60
  19.05500   65.10 211.00   0.00   0.00   1.00   0.01 265.98  12.96
  18.61000   70.00 208.40   0.00   0.00   2.00   0.01 265.89  13.19
  18.28800   73.80 206.80   0.00   0.00   2.00   0.01 265.91  13.29
  17.98300   77.60 205.60   0.00   0.00   1.00   0.01 266.05  13.35
  17.32300   86.50 210.00   0.00   0.00   1.00   0.01 266.59  14.03
  16.72700   95.30 209.80   0.00   0.00   1.00   0.01 266.78  14.66
  16.43000  100.00 211.20   0.00   0.00   2.00   0.01 266.88  15.06
  16.01200  107.00 208.80   0.00   0.00   2.00   0.01 266.83  15.40
  15.84300  110.00 209.00   0.00   0.00   2.00   0.01 266.87  15.53
  15.67800  113.00 207.60   0.00   0.00   3.00   0.01 266.89  15.60
  15.36300  119.00 207.20   0.00   0.00   3.00   0.01 267.13  15.78
  14.96500  127.00 209.20   0.00   0.00   3.00   0.01 267.54  16.31
  14.72800  132.00 208.20   0.00   0.00   3.00   0.01 267.70  16.55
  14.41000  139.00 210.00   0.00   0.00   4.00   0.01 268.11  17.05
  14.15000  145.00 209.80   0.00   0.00   4.00   0.01 268.37  17.46
  14.02100  148.10 210.50   0.00   0.00   4.00   0.01 268.55  17.70
  13.35100  165.00 212.40   0.00   0.00   7.00   0.01 269.52  19.27
  13.16600  170.00 214.00   0.00   0.00   6.00   0.01 269.82  19.91
  12.94900  176.00 213.20   0.00   0.00   9.00   0.01 270.02  20.54
  12.47100  190.00 214.80   0.00   0.00  15.00   0.01 270.88  22.51
  12.30900  195.00 214.60   0.01   0.00  26.00   0.01 271.16  23.42
  12.02500  204.00 214.60   0.02   0.00  67.00   0.01 272.01  25.90
  11.05900  237.00 222.80   0.03   0.00  57.00   0.01 277.87  38.43
  10.89800  243.00 224.20   0.04   0.00  56.00   0.01 279.05  40.77
  10.24700  268.00 229.80   0.02   0.00  20.00   0.02 283.51  48.57
   9.43400  302.00 236.40   0.06   0.00  25.00   0.02 289.59  58.94
   8.98700  322.00 240.40   0.05   0.00  13.00   0.03 293.29  65.42
   8.68700  336.00 241.40   0.01   0.00   3.00   0.03 294.73  67.90
   7.92500  374.00 245.00   0.05   0.00   9.00   0.05 299.10  74.36
   7.62000  390.20 247.50   0.05   0.00   8.00   0.05 301.92  78.63
   7.31500  406.70 250.30   0.06   0.00   7.00   0.08 304.87  83.34
   6.09600  478.60 260.50   0.08   0.00   4.00   0.11 316.68 104.28
   5.76000  500.00 262.20   0.13   0.00   6.00   0.12 319.41 110.92
   4.87700  560.20 268.00   0.20   0.00   6.00   0.14 328.77 131.34
   4.64500  577.00 270.20   0.16   0.00   4.00   0.14 331.24 137.04
   4.32200  601.00 271.60   1.04   0.00  24.00   0.14 334.55 149.12
   3.65800  652.50 277.50   1.24   0.00  19.00   0.15 347.31 182.70
   3.08500  700.00 281.90   0.95   0.00  11.00   0.20 357.21 203.39
   2.58900  743.00 285.50   0.33   0.00   3.00   0.22 363.42 215.71
   2.13400  784.40 287.50   0.99   0.00   8.00   0.31 366.69 225.88
   1.82900  813.20 289.00   1.08   0.00   8.00   0.38 368.51 235.02
   1.66800  828.90 289.90   1.00   0.00   7.00   0.38 368.99 239.83
   1.62800  832.80 290.10   1.01   0.00   7.00   0.38 368.97 240.97
   1.58900  836.70 290.30   1.02   0.00   7.00   0.38 368.87 242.09
   1.54900  840.50 290.50   0.89   0.00   6.00   0.38 368.69 243.18
   1.50900  844.40 290.70   0.90   0.00   6.00   0.38 368.35 244.22
   1.46900  848.40 290.60   0.89   0.00   6.00   0.38 367.70 245.04
   1.43000  852.40 290.40   0.88   0.00   6.00   0.38 366.97 245.63
   1.39000  856.40 290.20   0.73   0.00   5.00   0.38 366.22 246.08
   1.35000  860.30 290.00   0.72   0.00   5.00   0.38 365.47 246.43
   1.31100  864.30 289.80   0.71   0.00   5.00   0.38 364.67 246.72
   1.27100  868.40 289.50   1.11   0.00   8.00   0.38 363.61 246.97
   1.23100  872.50 289.20   1.64   0.00  12.00   0.38 361.97 247.30
   1.19100  876.60 288.40   2.47   0.00  19.00   0.38 358.66 247.37
